feature,F_score,p_value,comparison
heart_rate,188.3045712883411,1.3083066823101311e-42,F_vs_SVEB
rr_ratio,180.30918710886073,6.951536601345314e-41,F_vs_SVEB
dominant_freq,159.75432644868008,1.9217456004639526e-36,F_vs_SVEB
rr_interval,138.98257568506887,6.047220868310916e-32,F_vs_SVEB
mean_rr,108.8820368621103,2.08305636328506e-25,F_vs_SVEB
wav_3_energy,95.70345869797443,1.5463097861202235e-22,F_vs_SVEB
r_peak_position,69.8995916647487,6.754926899895647e-17,F_vs_SVEB
wav_4_energy_ratio,56.28732330352141,6.594514017944881e-14,F_vs_SVEB
prev_rr,50.91346950056933,1.0072180437557568e-12,F_vs_SVEB
wav_2_energy,46.227176592136836,1.0907801282822766e-11,F_vs_SVEB
wav_2_mean,43.15636219902236,5.2114156638066396e-11,F_vs_SVEB
wav_1_std,19.54636256460768,9.884232662438612e-06,F_vs_SVEB
qrs_width,13.18872744744528,0.0002825289095642051,F_vs_SVEB
wav_1_energy,11.330406506132917,0.0007642986239867747,F_vs_SVEB
min,9.831263320358907,0.0017188493409840105,F_vs_SVEB
wav_4_mean,9.52927022679226,0.002025705213669381,F_vs_SVEB
local_heart_rate,3.634934703945496,0.05659694471857634,F_vs_SVEB
wav_2_std,1.2145016478779738,0.27045919674463703,F_vs_SVEB
wav_3_mean,0.40635334676863166,0.5238354660528957,F_vs_SVEB
kurtosis,0.00634400763431995,0.9365172094199732,F_vs_SVEB
kurtosis,4762.870880071795,0.0,F_vs_VEB
skewness,1898.5817198057887,0.0,F_vs_VEB
rr_deviation_ratio,1669.9854890745646,0.0,F_vs_VEB
next_rr_ratio,1192.8519328036514,3.7547372022676074e-253,F_vs_VEB
wav_2_energy,812.5705799261049,7.508148499047022e-175,F_vs_VEB
next_rr,766.9449537498679,2.390890145934484e-165,F_vs_VEB
wav_4_std,748.9058677429199,1.387908977264976e-161,F_vs_VEB
wav_1_mean,721.2145512280821,8.45980168365692e-156,F_vs_VEB
r_peak_to_mean,580.4759281449332,2.9331732587699072e-126,F_vs_VEB
min,539.3917667428873,1.364253658992911e-117,F_vs_VEB
r_peak_amplitude,504.92807015111146,2.6392941043855792e-110,F_vs_VEB
mean_abs_slope,462.4186064784237,2.6869689953133334e-101,F_vs_VEB
qrs_width,449.34892477017956,1.5967832447314666e-98,F_vs_VEB
spectral_centroid,433.6959907372499,3.375481250609398e-95,F_vs_VEB
heart_rate,430.0468837727892,2.0134705788758268e-94,F_vs_VEB
wav_2_std,404.95290001245206,4.387358904909868e-89,F_vs_VEB
spectral_bandwidth,380.43915523002045,7.325551264776127e-84,F_vs_VEB
slope_std,366.7898788483017,5.973126188142141e-81,F_vs_VEB
dominant_freq,339.48113572420846,4.0597396641048614e-75,F_vs_VEB
zero_crossing_rate,326.8185106025331,2.0712792908454353e-72,F_vs_VEB
wav_4_energy_ratio,265.4077686180944,3.018246977332527e-59,F_vs_VEB
local_heart_rate,244.72953677399062,8.403598450633055e-55,F_vs_VEB
wav_4_energy,208.5563190356818,5.196402162387701e-47,F_vs_VEB
std,142.4374304011673,1.0367729818749383e-32,F_vs_VEB
wav_0_mean,122.37438688230273,2.359112727407927e-28,F_vs_VEB
rms,119.17378425266065,1.1715026589094728e-27,F_vs_VEB
r_peak_position,118.35771915308477,1.7629747915907855e-27,F_vs_VEB
max_slope,117.38757702139378,2.8660624419606268e-27,F_vs_VEB
min_slope,99.48719270487841,2.2704061903353908e-23,F_vs_VEB
rr_ratio,98.575733160752,3.5883158092732956e-23,F_vs_VEB
max,97.98487815262702,4.8280249909030075e-23,F_vs_VEB
absolute_area,87.85642950069814,7.850983850967059e-21,F_vs_VEB
wav_3_std,85.00109088597192,3.3034899696171535e-20,F_vs_VEB
rr_deviation,82.1394616846487,1.3954999483372011e-19,F_vs_VEB
mean,76.98631179313979,1.872713267023358e-18,F_vs_VEB
mean_rr,61.1239506771986,5.653515583183716e-15,F_vs_VEB
wav_3_energy_ratio,47.955964320386364,4.506171166318136e-12,F_vs_VEB
ptp,36.4951251203773,1.5605853487832503e-09,F_vs_VEB
wav_1_energy_ratio,33.33617149746505,7.880359528422194e-09,F_vs_VEB
wav_3_energy,31.334433464431907,2.2036106700399395e-08,F_vs_VEB
spectral_energy,30.03184741295955,4.307143427866181e-08,F_vs_VEB
wav_0_energy_ratio,21.015285071578187,4.5869817434019195e-06,F_vs_VEB
prev_rr,17.687908584360027,2.6153452979031382e-05,F_vs_VEB
wav_0_std,16.701207216608204,4.394284667677195e-05,F_vs_VEB
rr_interval,7.110980110349995,0.007668169954414784,F_vs_VEB
wav_0_energy,4.512049962197447,0.033670474526683876,F_vs_VEB
signal_energy,4.223136907541102,0.03989077458675442,F_vs_VEB
wav_2_mean,4.024453288632424,0.04486008676448672,F_vs_VEB
wav_2_energy_ratio,3.7339262698479176,0.05333359708444241,F_vs_VEB
wavelet_entropy,2.4579875586844055,0.11694608499654524,F_vs_VEB
wav_4_mean,2.4480266021118577,0.1176903021919434,F_vs_VEB
wav_1_energy,0.8356128426295952,0.360666767047317,F_vs_VEB
wav_3_mean,0.27133065764284503,0.6024469574906489,F_vs_VEB
wav_1_std,0.11654996254211321,0.7328108671594813,F_vs_VEB
max_slope,1754.912516192291,0.0,F_vs_Q
skewness,1406.3099390688337,1.9164749463230747e-290,F_vs_Q
r_peak_to_mean,1295.4651104758727,6.821250193323748e-269,F_vs_Q
r_peak_amplitude,1136.3682959130192,1.2544278032061675e-237,F_vs_Q
kurtosis,1033.0357188167611,4.155074447865087e-217,F_vs_Q
max,899.7337922371142,2.212701282342121e-190,F_vs_Q
wav_3_std,721.7621097980219,3.0672634456732945e-154,F_vs_Q
qrs_width,621.7519372121429,1.0806376354141425e-133,F_vs_Q
next_rr,575.4290120154354,4.073535804372541e-124,F_vs_Q
mean_rr,454.2603131871356,6.936594878725875e-99,F_vs_Q
min,334.70373645996443,1.0092582635294346e-73,F_vs_Q
wav_3_energy,277.37938642896404,1.4725521470131198e-61,F_vs_Q
wav_4_std,244.88744763148696,1.238580229342828e-54,F_vs_Q
prev_rr,243.32487374147303,2.670037450386671e-54,F_vs_Q
wav_4_energy,224.63734304709666,2.6318549868127647e-50,F_vs_Q
wav_4_energy_ratio,212.3383886538272,1.1296700115751487e-47,F_vs_Q
rr_interval,205.97404775157645,2.6100466096495015e-46,F_vs_Q
spectral_centroid,196.26019380627318,3.161349546491514e-44,F_vs_Q
spectral_bandwidth,163.80395739154756,2.9995369501000743e-37,F_vs_Q
wav_2_std,153.85900010139582,4.1720601161136804e-35,F_vs_Q
min_slope,142.30262865771147,1.3011953572011364e-32,F_vs_Q
wav_2_energy,134.76222708952255,5.542576828619752e-31,F_vs_Q
wav_1_std,106.98208083083743,5.781537843316381e-25,F_vs_Q
wav_2_mean,102.59750375263278,5.1804620464079e-24,F_vs_Q
mean_abs_slope,97.42256279485585,6.90739192973925e-23,F_vs_Q
r_peak_position,92.63262188635507,7.612642862812234e-22,F_vs_Q
wav_3_energy_ratio,89.05401762346963,4.579597798869374e-21,F_vs_Q
zero_crossing_rate,88.31404070109775,6.638021584214422e-21,F_vs_Q
slope_std,57.58021850969857,3.495512916806259e-14,F_vs_Q
wav_1_energy,48.79981518670946,2.9914088953355684e-12,F_vs_Q
local_heart_rate,46.473326653085785,9.752975787876796e-12,F_vs_Q
wav_1_energy_ratio,41.9237018760795,9.877741307782608e-11,F_vs_Q
next_rr_ratio,37.374165429740444,1.0067209195458205e-09,F_vs_Q
wavelet_entropy,24.25017989456882,8.577717896481635e-07,F_vs_Q
spectral_energy,20.43990751881924,6.214925620326666e-06,F_vs_Q
rr_deviation_ratio,15.085875874920816,0.0001033054159466746,F_vs_Q
rr_deviation,12.778008819984064,0.00035215771537733286,F_vs_Q
ptp,12.632880021013914,0.0003805437321545688,F_vs_Q
wav_0_energy_ratio,12.394830479649453,0.0004321935074893542,F_vs_Q
wav_2_energy_ratio,12.381537376237159,0.0004352779767679316,F_vs_Q
wav_0_energy,11.531731989264443,0.000686501442590647,F_vs_Q
rr_ratio,8.167785710298421,0.0042717645493364756,F_vs_Q
wav_1_mean,8.16712759793446,0.00427331369681321,F_vs_Q
dominant_freq,6.810309924693709,0.009075065964987656,F_vs_Q
wav_3_mean,6.678419886805577,0.009770941384689875,F_vs_Q
absolute_area,6.434893324275572,0.011203118917927397,F_vs_Q
wav_0_mean,5.358593793379036,0.02063794590611764,F_vs_Q
rms,3.9806313538679667,0.0460499062143406,F_vs_Q
heart_rate,3.5745807397076548,0.05869541897657419,F_vs_Q
mean,3.329969343196207,0.06805411970257606,F_vs_Q
std,0.46600423453272666,0.494844949279873,F_vs_Q
wav_4_mean,0.4659144757464509,0.49488650348818003,F_vs_Q
signal_energy,0.13297023942342573,0.715378772122076,F_vs_Q
wav_0_std,0.027402483584166956,0.8685242800068632,F_vs_Q
